"Alue","Äidinkieli","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Helsinki","Kaikki Äidinkielet",483036,483051,484260,484471,484263,485795,487521,490034,489965,490629,492400,497542,501514,508588,515765,525031,532053,539363,546317,551123,555474,559718,559716,559330,559046,560905,564521,568531,576632,583350,588549,595384,603968,612664,620715,628208,635181,643272,648042,653835,656920,658457,664028,674500
"Helsinki","Suomi ja saame",435714,..,..,..,..,..,..,..,..,..,446782,449514,451168,455300,459974,466886,472564,477565,482252,485164,488553,490462,489022,486552,484771,483552,483328,483035,486263,488579,489670,491524,494686,498351,501321,504072,505770,508642,509684,511111,510912,507484,505596,505778
"Helsinki","Ruotsi",45064,44181,43455,42741,42044,41305,40518,40002,39232,38544,37791,37366,36946,36607,36517,36515,36596,36600,36611,36362,36128,35874,35451,35116,34871,34774,34695,34505,35124,35198,35459,35537,35674,35844,35845,36004,36197,36361,36533,36665,36754,36856,36748,36844
"Helsinki","Muu kieli",2006,..,..,..,..,..,..,..,..,..,7827,10662,13400,16681,19274,21630,22893,25198,27454,29597,30793,33382,35243,37662,39404,42579,46498,50991,55245,59573,63420,68323,73608,78469,83549,88132,93214,98269,101825,106059,109254,114117,121684,131878
"Espoo","Kaikki Äidinkielet",137409,141334,145317,149057,152929,156778,160406,164569,167734,169851,172629,175670,179054,182647,186507,191247,196260,200834,204962,209667,213271,216836,221597,224231,227472,231704,235019,238047,241565,244330,247970,252439,256824,260753,265543,269802,274583,279044,283632,289731,292796,297132,305274,314024
"Espoo","Suomi ja saame",116038,..,..,..,..,..,..,..,..,..,151724,153964,156742,159669,162861,166884,171124,174783,178104,181956,185010,187411,190874,192530,194656,197396,199236,200572,202035,202776,204398,206217,207607,208529,210088,211261,212800,214312,215548,217502,217202,217488,218408,219621
"Espoo","Ruotsi",17265,17376,17522,17658,17853,17986,18119,18299,18461,18520,18634,18817,18951,18982,19165,19272,19362,19510,19614,19824,19893,19837,20000,20042,20067,20018,20041,20054,20136,20314,20334,20211,20241,20275,20261,20216,20131,20077,19999,20033,19970,20034,20136,20199
"Espoo","Muu kieli",540,..,..,..,..,..,..,..,..,..,2271,2889,3361,3996,4481,5091,5774,6541,7244,7887,8368,9588,10723,11659,12749,14290,15742,17421,19394,21240,23238,26011,28976,31949,35194,38325,41652,44655,48085,52196,55624,59610,66730,74204
"Vantaa","Kaikki Äidinkielet",132050,134040,136607,139202,141991,143844,146425,149063,151157,152262,154933,157274,159213,161103,164376,166480,168778,171297,173860,176386,178471,179856,181890,184039,185429,187281,189711,192522,195397,197636,200055,203001,205312,208098,210803,214605,219341,223027,228166,233775,237231,239206,242819,247443
"Vantaa","Suomi ja saame",122950,..,..,..,..,..,..,..,..,..,146944,148711,150177,151526,154435,156181,158015,159807,161583,163485,164904,165432,166560,167796,168780,169549,171072,172295,173179,173870,174448,175223,175234,174861,174837,175844,177263,178045,179478,180924,180492,178721,177092,175471
"Vantaa","Ruotsi",6577,6504,6499,6500,6419,6380,6406,6386,6376,6366,6358,6374,6339,6314,6222,6234,6194,6199,6103,6030,6050,5987,5917,5928,5880,5848,5855,5804,5841,5797,5798,5777,5712,5722,5704,5676,5631,5594,5559,5575,5579,5532,5447,5386
"Vantaa","Muu kieli",255,..,..,..,..,..,..,..,..,..,1631,2189,2697,3263,3719,4065,4569,5291,6174,6871,7517,8437,9413,10315,10769,11884,12784,14423,16377,17969,19809,22001,24366,27515,30262,33085,36447,39388,43129,47276,51160,54953,60280,66586
